19.659,1.1244,-16.939,-29.823,-23.108,-79.856,85,2.5501,-48.117,-163,114.68,6.8034,29.823,23.209,82.45,-85,-2.5447,48.316,163,-110.46,-6.7152
13.348,38.454,0.20411,71.591,-41.801,4.8132,85,89.727,-95.953,-163,66.155,-111.78,-71.591,42.238,-4.7274,-85,-88.596,96.845,163,-64.617,113.39
252.54,135.34,69.042,354.93,67.183,23.132,85,107.3,-73.141,-163,89.281,-272.38,-354.93,-65.948,-22.299,-85,-105.5,73.719,163,-81.858,287.74
13.214,9.8391,-23.083,-45.745,-80.342,-49.201,85,34.772,-49.259,-163,113.53,-34.289,45.745,81.492,50.228,-85,-34.604,49.468,163,-109.31,34.597
175.26,68.578,37.032,288.34,104.78,-64.238,85,18.099,-45.529,-163,117.28,-178.27,-288.34,-102.46,66.901,-85,-18.035,45.724,163,-110.53,183.56
20.574,-1.5743,0.57853,11.196,63.074,-89.398,85,-7.8873,-83.671,-163,78.728,52.153,-11.196,-62.161,92.887,-85,7.8996,84.272,163,-76.766,-51.878
44.69,20.728,-5.9312,77.96,4.4321,-66.122,85,17.074,-47.031,-163,115.78,-72.66,-77.96,-4.4275,67.926,-85,-17.025,47.225,163,-111.12,73.528
134.74,67.834,8.7882,175.03,-16.414,-56.853,85,26.698,-6.4808,-163,156.48,-184.94,-175.03,16.532,58.302,-85,-26.583,6.5211,163,-145.27,191.45
324.64,161.84,147.67,475.76,255.65,18.389,85,99.631,-192.64,-163,-34.358,-213.05,-475.76,-238.82,-14.631,-85,-97.604,197.36,163,36.577,220.11
-1.6892,-7.6319,-10.455,-70.041,16.937,-74.939,85,7.7669,-95.574,-163,66.637,87.736,70.041,-16.834,77.233,-85,-7.7432,96.363,163,-65.178,-86.979
48.401,26.345,-13.96,44.011,-52.308,-58.441,85,25.188,-27.392,-163,135.53,-94.752,-44.011,52.829,59.812,-85,-25.096,27.467,163,-128.94,96.319
20.243,25.462,1.3129,91.94,20.441,-31.659,85,52.941,-93.575,-163,68.62,-70.852,-91.94,-20.366,32.059,-85,-52.53,94.38,163,-67.036,71.499
116.88,81.289,38.816,270.02,58.097,11.942,85,96.774,-101.22,-163,60.721,-205.77,-270.02,-57.391,-11.774,-85,-95.366,102.28,163,-58.503,211.92
32.942,4.6961,-12.725,0.58432,-7.2011,-89.408,85,-7.7321,-37.58,-163,125.29,-7.6462,-0.58432,7.2384,92.732,-85,7.7402,37.708,163,-120.16,7.7854
173.01,-5.5007,-8.4808,-378.42,-151.65,-176.2,85,-105.65,46.589,-163,209.27,233.03,378.42,156.53,190.65,-85,107.01,-46.271,163,-194.94,-226.78
-24.57,6.6682,-21.407,-158.32,-119.52,-3.7926,85,80.8,-111.42,-163,50.418,38.955,158.32,121.97,4.2002,-85,-79.896,112.58,163,-49.491,-38.808
105.41,-1.0396,-22.877,-259.95,-146.63,-148.21,85,-72.714,43.733,-163,206.44,115.02,259.95,150.78,157.71,-85,73.344,-43.442,163,-192.32,-113.32
20.737,51.692,28.979,160.29,68.836,9.443,85,94.405,-151.01,-163,9.6301,-90.552,-160.29,-68.018,-9.4046,-85,-93.014,153.37,163,-9.5971,91.456
100.4,26.925,-2.2071,3.0559,-33.663,-137.84,85,-61.54,39.367,-163,202.1,-35.779,-3.0559,34.007,146.54,-85,61.998,-39.101,163,-187.06,36.719
12.181,19.341,-8.5208,42.094,-18.27,-34.762,85,49.741,-79.486,-163,82.947,-59.849,-42.094,18.347,35.259,-85,-49.389,80.053,163,-80.668,60.364
73.745,28.365,13.85,164.96,82.266,-72.178,85,10.331,-65.959,-163,96.657,-81.747,-164.96,-80.893,74.669,-85,-10.304,66.343,163,-93.275,82.692
-16.398,0.97133,-23.473,-125.91,-88.972,-28.978,85,55.472,-93.525,-163,68.693,37.08,125.91,90.335,29.528,-85,-55.042,94.307,163,-67.149,-36.939
148.7,61.421,68.695,308.93,216.2,-53.844,85,28.106,-142.11,-163,18.875,-91.735,-308.93,-205.55,56.894,-85,-27.925,144.13,163,-18.524,92.734
46.912,-20.122,-27.124,-237.74,-88.308,-117.07,85,-37.751,-26.276,-163,136.65,151.77,237.74,89.721,122.75,-85,37.918,26.354,163,-130.87,-149.44
-12.67,-7.5944,-7.8826,-108.99,20.027,-63.807,85,19.539,-124,-163,37.635,130.69,108.99,-19.915,65.461,-85,-19.451,125.36,163,-36.96,-129.02
267.9,153.84,77.32,371.69,33.17,51.797,84.954,135.85,-71.838,-162.72,85.58,-289.23,-371.69,-32.323,-50.226,-84.954,-132.95,72.444,162.72,-77.45,308.02
-11.446,15.192,-6.9908,3.1697,-14.644,-23.128,85,61.602,-108.91,-163,52.99,-17.76,-3.1697,14.696,23.398,-85,-61.051,110.01,163,-52.073,17.814
-1.8321,17.973,-2.9077,39.104,7.3665,-28.131,85,56.538,-106.65,-163,55.293,-31.602,-39.104,-7.3536,28.462,-85,-56.067,107.71,163,-54.303,31.738
190.8,73.63,29.459,221.82,52.614,-106.26,85,-27.357,16.537,-163,179.41,-163.41,-221.82,-51.949,112.36,-85,27.449,-16.411,163,-164.2,169.21
85.598,33.951,2.9971,133.5,23.346,-80.335,85,1.7977,-24.384,-163,138.55,-108.16,-133.5,-23.23,83.202,-85,-1.7922,24.455,163,-131.27,110.16
32.307,-15.842,-22.031,-159.98,-49.297,-112.61,85,-32.898,-32.897,-163,130,111.96,159.98,49.782,117.9,-85,33.025,33.002,163,-124.74,-110.68
38.291,-1.5019,18.288,28.906,123.15,-106.05,85,-26.583,-100.22,-163,61.91,95.196,-28.906,-119.62,111.58,-85,26.67,101.09,163,-60.677,-94.242
80.86,-1.4581,-8.5684,-133.78,-47.387,-153.65,85,-79.415,26.787,-163,189.63,87.423,133.78,48.067,164.41,-85,80.18,-26.628,163,-177.77,-86.391
131.66,26.505,-19.307,-217.53,-183.25,-147.24,85,-71.665,76.378,-163,238.66,35.279,217.53,189.91,156.66,-85,72.272,-75.661,163,-217.82,-34.279
15.133,11.03,-0.34903,55.805,44.645,-58.656,85,24.919,-92.509,-163,69.731,-11.127,-55.805,-44.26,60.081,-85,-24.813,93.269,163,-68.168,11.16
124.19,71.781,13.487,197.22,-11.954,-26.046,85,58.63,-34.231,-163,128.66,-202.08,-197.22,12.13,26.37,-85,-58.134,34.342,163,-120.81,209.17
18.585,1.719,2.1549,27.941,67.612,-81.484,85,0.62938,-91.09,-163,71.189,39.832,-27.941,-66.624,84.371,-85,-0.61868,91.811,163,-69.577,-39.671
-11.957,39.172,16.524,76.874,28.985,10.776,85,95.697,-152.64,-163,7.9818,-47.652,-76.874,-28.83,-10.697,-85,-94.295,155.02,163,-7.9271,47.889
18.291,-1.3284,-3.9603,3.3881,43.863,-86.12,85,-4.2783,-76.595,-163,85.903,40.647,-3.3881,-43.397,89.278,-85,4.2858,77.097,163,-83.57,-40.475
3.3335,59.979,32.232,133.75,38.771,33.721,85,118.26,-164.47,-163,-4.4032,-94.019,-133.75,-38.482,-33.257,-85,-116.07,167.4,163,4.4127,94.977
58.152,-9.4636,-32.904,-228.73,-138,-111.74,85,-31.859,3.3127,-163,166.26,91.722,228.73,141.41,116.86,-85,31.978,-3.259,163,-157.45,-90.732
15.375,10.831,-6.4152,39.968,16.132,-57.683,85,25.969,-78.507,-163,83.953,-23.719,-39.968,-16.08,59.031,-85,-25.861,79.047,163,-81.671,23.837
