246.08,19.305,-111.67,-43.721,-8.4047,-12.706,0,0,-24.284,-9.3114,-3.8204,-6.8766,-15.438,-13.842,-19.398,33.02,12.776,3.5672,-1.7694,5.5736,0,16.098,-13.665,-6.0007,-1.9648,-1.8037,-6.6326,-4.6448
208.66,19.603,-89.241,-39.414,-6.836,-9.1775,0,0,-25.369,-10.717,-3.9701,-6.5756,-12.45,-13.428,-13.037,24.181,2.6212,3.2158,-1.4392,2.8034,0,16.228,-14.276,-6.9066,-2.0418,-1.7248,-5.349,-4.5062
225.43,21.332,-86.961,-55.018,-7.9669,-11.178,0,0,-27.577,-7.9341,-3.5216,-5.5229,-14.989,-13.429,-15.158,28.451,3.013,4.4889,-1.6772,4.6497,0,16.823,-15.518,-5.1131,-1.8111,-1.4486,-6.4396,-4.5063
197.37,18.484,-75.949,-40.359,-7.5861,-9.2567,0,0,-28.311,-8.6733,-3.8941,-7.2524,-12.153,-12.677,-10.571,22.369,-2.5042,3.2929,-1.5971,2.7292,0,16.415,-15.931,-5.5895,-2.0027,-1.9023,-5.2215,-4.2541
219.78,17.654,-80.644,-53.691,-7.6571,-10.158,0,0,-24.489,-8.2782,-4.0192,-5.0712,-13.661,-17.809,-14.32,27.64,0.2537,4.3807,-1.612,4.3582,0,16.58,-13.78,-5.3348,-2.067,-1.3301,-5.8694,-5.9762
263.14,17.041,-111.6,-52.675,-7.3778,-11.185,0,0,-31.453,-10.159,-4.1656,-6.7477,-11.666,-16.05,-21.431,39.334,14.599,4.2978,-1.5532,6.8643,0,19.079,-17.699,-6.5471,-2.1423,-1.7699,-5.0121,-5.3858
237.52,18.672,-107.06,-43.981,-7.7835,-12.476,0,0,-23.956,-7.4544,-2.9652,-6.1016,-14.512,-15.616,-18.24,30.6,10.331,3.5884,-1.6386,3.6503,0,15.545,-13.48,-4.8039,-1.525,-1.6004,-6.2348,-5.2401
212.52,17.571,-84.311,-42.024,-6.8615,-9.3121,0,0,-32.965,-8.2697,-2.8533,-5.0446,-10.941,-16.213,-13.218,26.608,1.6719,3.4287,-1.4445,2.9588,0,18.141,-18.55,-5.3294,-1.4674,-1.3232,-4.7007,-5.4406
249.43,16.58,-92.12,-57.242,-8.3567,-12.031,0,0,-28.647,-10.185,-3.4211,-6.1743,-15.334,-17.389,-18.588,36.188,6.5577,4.6704,-1.7593,8.6605,0,18.612,-16.12,-6.5634,-1.7594,-1.6195,-6.5881,-5.8352
239.8,18.868,-106.07,-44.811,-6.4317,-10.491,0,0,-32.706,-9.949,-3.8065,-5.6617,-11.174,-13.092,-18.186,32.619,11.073,3.6561,-1.354,3.981,0,18.415,-18.404,-6.4116,-1.9576,-1.485,-4.8005,-4.3931
