-64.587,-85.094,-110.81,-24.22,-29.783,-44.324
-84.466,-97.561,-113.05,-31.675,-34.146,-45.222
-91.539,-82.779,-126.65,-34.327,-28.973,-50.66
-92.658,-102.2,-143.59,-34.747,-35.77,-57.435
-79.207,-108.73,-127.27,-29.703,-38.056,-50.909
-71.873,-111.41,-124.25,-26.952,-38.994,-49.699
-80.373,-117.46,-118.88,-30.14,-41.112,-47.553
-68.977,-93.611,-101.45,-25.866,-32.764,-40.58
-86.536,-109.23,-104.4,-32.451,-38.231,-41.758
-64.373,-108.12,-125.04,-24.14,-37.841,-50.015
-71.692,-100.95,-120.93,-26.884,-35.332,-48.372
-73.068,-105.85,-102.19,-27.4,-37.049,-40.876
-75.067,-119.2,-104.15,-28.15,-41.72,-41.662
-75.893,-114.8,-123.94,-28.46,-40.179,-49.577
-66.943,-119.29,-117.4,-25.104,-41.752,-46.959
-76.696,-104.96,-125.91,-28.761,-36.735,-50.364
-76.659,-118.79,-113.09,-28.747,-41.576,-45.235
-69.996,-84.788,-131.39,-26.248,-29.676,-52.556
-94.824,-102.23,-115.41,-35.559,-35.782,-46.163
-92.635,-92.644,-124.15,-34.738,-32.425,-49.662
-66.851,-114.14,-129.63,-25.069,-39.95,-51.853
-87.033,-89.976,-127.51,-32.637,-31.492,-51.002
-75.269,-118.04,-105.15,-28.226,-41.314,-42.06
-67.836,-100.27,-118.54,-25.438,-35.094,-47.417
-67.239,-89.078,-128.93,-25.215,-31.177,-51.57
-80.051,-91.505,-126.6,-30.019,-32.027,-50.64
-90.847,-93.974,-132.8,-34.068,-32.891,-53.118
-88.038,-93.894,-149.51,-33.014,-32.863,-59.802
-83.319,-80.166,-149.59,-31.245,-28.058,-59.835
-85.661,-107.02,-101.17,-32.123,-37.457,-40.467
-90.263,-92.096,-107.51,-33.849,-32.234,-43.003
-72.955,-93.327,-115.14,-27.358,-32.665,-46.055
-80.58,-111.55,-116.88,-30.217,-39.042,-46.75
-82.928,-102.61,-111.12,-31.098,-35.914,-44.449
-88.887,-96.195,-108.74,-33.333,-33.668,-43.495
-73.776,-112.16,-145.71,-27.666,-39.255,-58.283
-91.561,-117.05,-140.17,-34.335,-40.969,-56.07
-77.273,-92.388,-117.16,-28.978,-32.336,-46.863
-79.697,-113.79,-105.14,-29.886,-39.828,-42.056
-82.024,-90.131,-106.09,-30.759,-31.546,-42.435
-67.382,-107.82,-143.92,-25.268,-37.735,-57.567
-95.426,-117.54,-125,-35.785,-41.141,-49.999
-82.421,-100.27,-147.44,-30.908,-35.094,-58.976
-65.225,-87.146,-132.69,-24.459,-30.501,-53.075
-70.067,-83.535,-122.31,-26.275,-29.237,-48.925
-73.746,-99.057,-117.47,-27.655,-34.67,-46.987
-75.906,-115.45,-119.5,-28.465,-40.409,-47.799
-70.135,-85.39,-122.97,-26.301,-29.887,-49.188
-76.252,-113.25,-115.09,-28.594,-39.638,-46.036
-90.996,-117.81,-100.2,-34.123,-41.232,-40.079
